,key,val
0,Kế toán,73403
1,Công nghệ thông tin,74802
2,Công nghệ kỹ thuật cơ khí,75102
3,Công nghệ kỹ thuật nhiệt,7510206
4,"Công nghệ kỹ thuật điện, điện tử",7510301
5,Công nghệ kỹ thuật điều khiển và tự động hóa,7510303
6,Công nghệ kỹ thuật hóa học,7510401
7,Quản lý công nghiệp,75106
8,Công nghệ thực phẩm,7540101
9,Quản trị dịch vụ du lịch và lữ hành,7810103
10,Quản trị khách sạn,7810201
11,Công nghệ thực phẩm*,7540101
12,Chính trị học,7310201
13,Quản lý nhà nước,7310205
14,Quản trị kinh doanh,7340101
15,Tài chính Ngân hàng,7340201
16,Luật kinh tế,7380107
17,Công nghệ kỹ thuật xây dựng,7510103
18,Thú y,764
19,Y học cổ truyền,7720115
20,Dược học,77202
21,Điều dưỡng,7720301
22,Dinh dưỡng,77204
23,Quản lý đất đai,7850103
24,Tài chính – Ngân hàng,7340201
25,Dinh Dưỡng,77204
26,Điều Dưỡng,7720301
27,Sư phạm tiếng Pháp,7140233
28,Sư phạm tiếng Anh,7140231
29,Sư phạm tiếng Trung,7140234
30,Ngôn ngữ Anh,7220201
31,Ngôn ngữ Nga,7220202
32,Ngôn ngữ Anh ( Chất lượng cao ),7220201
33,Ngôn ngữ Pháp,7220203
34,Ngôn ngữ Trung Quốc,7220204
35,Ngôn ngữ Trung Quốc ( Chất lượng cao ),7220204
36,Ngôn ngữ Nhật ( Chất lượng cao ),7220209
37,Ngôn ngữ Nhật,7220209
38,Ngôn ngữ Hàn Quốc,7220210
39,Ngôn ngữ Hàn Quốc ( Chất lượng cao ),7220210
40,Quốc tế học ( Chất lượng cao ),7310601
41,Ngôn ngữ Thái Lan,7229020
42,Quốc tế học,7310601
43,Đông phương học,7310608
44,Sư phạm tiếng Anh bậc tiểu học,7140231
45,Cử nhân tiếng Anh du lịch,78101
46,Ngôn ngữ Anh (CLC),7220201
47,Ngôn ngữ Trung Quốc (Chất lượng cao),7220204
48,Ngôn ngữ Trung Quốc*,7220204
49,Ngôn ngữ Nhật*,7220209
50,Ngôn ngữ Nhật (Chất lượng cao),7220209
51,Ngôn ngữ Hàn Quốc (Chất lượng cao),7220210
52,Quốc tế học (Chất lượng cao),7310601
53,Sư phạm tiếng Pháp*,7140233
54,Sư phạm tiếng Trung Quốc*,7140234
55,Ngôn ngữ Anh*,7220201
56,Sư phạm tiếng Anh*,7140231
57,Ngôn ngữ Nga*,7220202
58,Ngôn ngữ Pháp*,7220203
59,Ngôn ngữ Hàn Quốc*,7220210
60,Quốc tế học*,7310601
61,Quốc tế học (CLC),7310601
62,Đông Phương học,7310608
63,Sư phạm Tiếng Pháp,7140233
64,Sư phạm Tiếng Trung Quốc,7140234
65,Đông phương học*,7310608
66,Cử nhân tiếng Anh thương mại,7340121
67,Cử nhân tiếng Anh,7140231
68,Cử nhân tiếng Nga du lịch,78101
69,Cử nhân tiếng Nga,7140232
70,Cử nhân tiếng Pháp du lịch,78101
71,Cử nhân tiếng Pháp,7140233
72,Cử nhân tiếng Trung thương mại,7340122
73,Cử nhân tiếng Trung,7140234
74,Ngôn ngữ tiếng Nga,7220202
75,Ngôn ngữ Pháp Pháp,7220203
76,Ngôn ngữ tiếng Trung,7220204
77,Ngôn ngữ tiếng Nhật,7220209
78,Ngôn ngữ Anh thương mại,7220201
79,Ngôn ngữ Pháp du lịch,7220203
80,Cử nhân tiếng Pháp.,7140233
81,Ngôn ngữ Trung thương mại,7220204
82,Cử nhân tiếng Trung.,7140234
83,SP tiếng Anh bậc tiểu học,7140202
84,tiếng Pháp du lịch,78101
85,Cử nhân tiếng Nhật,7140236
86,tiếng Pháp du lịch.,78101
87,tiếng Anh Thương mại,7340121
88,tiếng Trung thương mại,7340121
89,Kỹ thuật nhiệt (Chất lượng cao),7520115
90,Công nghệ dầu khí và khai thác dầu (Chất lượng cao),7510701
91,tiếng Trung thương mại.,7340121
92,Kỹ thuật môi trường (Chất lượng cao),7520320
93,Kỹ thuật XD công trình giao thông (Chất lượng cao),7580205
94,Chương trình tiên tiến ngành Điện tử viễn thông,75202
95,Kinh tế xây dựng (Chất lượng cao),7580301
96,Kỹ thuật xây dựng công trình thủy (Chất lượng cao),7580202
97,Công nghệ sinh học,7420201
98,Chương trình tiên tiến ngành Hệ thống nhúng,7480104
99,Công nghệ thông tin (CLC - ngoại ngữ Nhật),74802
100,Chương trình đào tạo kỹ sư chất lượng cao Việt-Pháp,7540106
101,Công nghệ chế tạo máy,7510202
102,Công nghệ thông tin (đào tạo theo cơ chế đặc thù),74802
103,Công nghệ dầu khí và khai thác dầu,7510701
104,Kỹ thuật cơ điện tử,7520114
105,Kỹ thuật cơ khí (Chuyên ngành Động lực),7520116
106,Công nghệ kỹ thuật vật liệu xây dựng,7510105
107,Kỹ thuật năng lượng và môi trường,7520320
108,Kỹ thuật cơ điện tử (Chất lượng cao),7540106
109,Kỹ thuật cơ khí - chuyên ngành Cơ khí động lực (CLC),7520116
110,Kỹ thuật nhiệt (CLC),7520115
111,Kỹ thuật tàu thủy,7510207
112,"Kỹ thuật điện tử, truyền thông",75202
113,Kỹ thuật điện tử & viễn thông (CLC),7520207
114,Kỹ thuật điều khiển và tự động hóa,7510303
115,Kỹ thuật điều khiển và tự động hóa (Chất lượng cao),7510303
116,Kỹ thuật hóa học,7520301
117,Kỹ thuật môi trường,7520320
118,Công nghệ thực phẩm (Chất lượng cao),7540101
119,Kiến trúc (CLC),7580101
120,KT xây dựng – c.ngành XD dân dụng & công nghiệp,7510102
121,Kỹ thuật xây dựng - chuyên ngành Tin học xây dựng,75802
122,KT xây dựng – c.ngành XD dân dụng & công nghiệp (CLC),7510102
123,Kỹ thuật công trình thủy,7580202
124,Kỹ thuật xây dựng công trình giao thông,7580205
125,Kỹ thuật xây dựng công trình giao thông (Chất lượng cao),7580205
126,Kinh tế xây dựng,7580301
127,Kinh tế xây dựng (CLC),7580301
128,Quản lý tài nguyên và môi trường,78501
129,Chương trình đào tạo kỹ sư tiên tiến Việt-Mỹ ngành Điện tử viễn thông*,75103
130,Chương trình đào tạo kỹ sư tiên tiến ngành Hệ thống nhúng*,7480104
131,Chương trình đào tạo kỹ sư chất lượng cao Việt-Pháp*,7540106
132,Sư phạm kỹ thuật công nghiệp,7140214
133,Công nghệ thông tin (Chất lượng cao ngoại ngữ Anh),74802
134,Công nghệ thông tin (Chất lượng cao ngoại ngữ Nhật),74802
135,Kỹ thuật nhiệt,7520115
136,"Kỹ thuật điện, điện tử",7510301
137,"Kỹ thuật điện, điện tử (Chất lượng cao)",7510301
138,Kỹ thuật điện tử và viễn thông,75202
139,Kỹ thuật điện tử & viễn thông (Chất lượng cao),7520207
140,Kỹ thuật điều khiển và tự động hóa (CLC),7510303
141,Kỹ thuật dầu khí (Chất lượng cao),7520604
142,Kiến trúc (Chất lượng cao),7580101
143,Kỹ thuật công trình xây dựng,7510102
144,Kỹ thuật xây dựng,7580201
145,Chương trình tiên tiến ngành Hệ thống nhúng,7480104
146,Chương trình đào tạo kỹ sư chất lượng cao Việt-Pháp (PFIEV),7540106
147,Sư phạm Kỹ thuật công nghiệp,7140214
148,Kỹ thuật cơ khí,7520103
149,Kỹ thuật cơ - điện tử,7520114
150,Chương trình tiên tiến ngành Điện tử Viễn thông,75202
151,Chương trình đào tạo kỹ sư Việt-Pháp PFIEV,7310608
152,Công nghệ sinh học (liên thông),7420201
153,Công nghệ thông tin (CLC ngoại ngữ Nhật + Anh),74802
154,Công nghệ thông tin (CLC ngoại ngữ Anh),74802
155,Công nghệ thông tin (liên thông),74802
156,Công nghệ chế tạo máy (liên thông),7510202
157,Kỹ thuật cơ khí (liên thông),7520103
158,Kỹ thuật cơ điện tử (liên thông),7520114
159,Kỹ thuật nhiệt (liên thông),7520115
160,"Kỹ thuật điện, điện tử (CLC)",7510301
161,"Kỹ thuật điện, điện tử (liên thông)",75202
162,Kỹ thuật điện tử và viễn thông (liên thông),75202
163,Kỹ thuật hóa học (liên thông),7520301
164,Kỹ thuật môi trường (liên thông),7520320
165,Kỹ thuật dầu khí,7520604
166,Công nghệ thực phẩm (liên thông),7540101
167,Kiến trúc,7580101
168,Kỹ thuật công trình xây dựng (liên thông),7510102
169,Kỹ thuật xây dựng công trình giao thông (CLC),7580205
170,Kỹ thuật xây dựng công trình giao thông (liên thông),7580205
171,Sư phạm kỹ thuật công nghiệp (chuyên ngành SPKT điện tử - tin học),7140214
172,"Kỹ thuật nhiệt, gồm các chuyên ngành (Nhiệt điện lạnh, kỹ thuật năng lượng và môi trường)",7520115
173,Kỹ thuật xây dựng (Chuyên ngành Tin học xây dựng),7580201
174,Kỹ thuật tài nguyên nước,7580212
175,Sư phạm kỹ thuật công nghiệp (Chuyên ngành SPKT điện tử - tin học),7140214
176,Công nghệ vật liệu,7510402
177,Nhiệt - Điện lạnh,7520115
178,Kiến trúc (Vẽ mỹ thuật hệ số 2),7580101
179,Kỹ thuật cơ khí (Động lực),7520116
180,Kỹ thuật Cơ điện tử,7520114
181,Kĩ thuật tàu thủy,7510207
182,Kiến trúc (Vẽ mỹ thuật hệ số 2.),7580101
183,Kỹ thuật xây dựng CT giao thông,7580205
184,Kỹ thuật xây dựng (Tin học xây dựng),7580201
185,Quản trị kính doanh chất lượng cao,7340101
186,Thương mại điện tử,7340122
187,Tài chính - Ngân hàng,7340201
188,Tài chính - Ngân hàng chất lượng cao,7340201
189,Kế toán chất lượng cao,7540106
190,Kiểm toán,7340302
191,Công nghệ kỹ thuật công trình xây dựng,7510102
192,Công nghệ kỹ thuật cơ điện tử,7510203
193,"Công nghệ kỹ thuật điện, điện tử Chất lượng cao",7510301
194,Công nghệ kỹ thuật điện tử - viễn thông,7510302
195,Công nghệ kỹ thuật điện tử - viễn thông Chất lượng cao,7510302
196,Công nghệ lỹ thuất điều khiển và tự động hóa,7510303
197,Công nghệ kỹ thuật điều khiển và tự động hóa chất lượng cao,7510303
198,Công nghệ kỹ thuật năng lượng,751
199,Công nghệ kỹ thuật môi trường,7510406
200,Công nghệ kỹ thuật hạt nhân,7510407
201,Quản lý công nghiệp chất lượng cao,75106
202,Quản lý năng lượng,7340403
203,Logistics và quản lý chuỗi cung ứng,7510605
204,Quản trị du lịch khách sạn,7810201
205,Quản trị kinh doanh chất lượng cao,7340101
206,Tài chính ngân hàng,7340201
207,Tai chính - Ngân hàng chất lượng cao,7340201
208,Xây dựng công trình điện,7580202
209,"Công nghệ kỹ thuật điện, điện tử chất luợng cao (Gồm 2 chuyên ngành: Hệ thống điện chất lượng cao, Điện công nghiệp vả dân dụng chất lượng cao)",7510301
210,Công nghệ kỹ thuật điện tử truyền thông,7510302
211,Công nghệ kỹ thuật điện tử - viễn thông chất ượng cao,7510302
212,Công nghệ kĩ thuật điều khiển và tự động hóa,7510303
213,Công nghệ kỹ thuật điều khiển và tự động hoá chất lượng cao,7510303
214,Quản lí công nghiệp,75106
215,Quàn lý công nghiệp chất lượng cao,75106
216,Logistics và Quản lý chuỗi cung ứng,7510605
217,"Kỹ thuật nhiệt (Gồm 2 chuyên ngành: Nhiệt điện, Điện lạnh)",7520115
218,Điện lạnh,7510301
219,Quản trị doanh nghiệp,7340101
220,Quản trị kinh doanh du lịch và khách sạn,7340101
221,Tài chính ngân hàng chất lượng cao,7340201
222,Kế toán doanh nghiệp,7620114
223,Quản trị an ninh mạng,7340101
224,Công nghệ phân mềm,7480103
225,Xây dựng dân dựng và công nghiệp,75802
226,Quản lý dự án và công trình điện,7340409
227,Điện công nghiệp và dân dụng chất lượng cao,7520117
228,Điện hạt nhân,7520402
229,Hệ thống điện,7480104
230,Hệ thống điện Chất lượng cao,7540106
231,Điện công nghiệp và dân dụng,76201
232,Điện tử viễn thông,7520207
233,Điện tử viễn thông chất lượng cao,7520207
234,Kỹ thuật điện tử,7520201
235,Thiết bị điện tử y tế,75202
236,Công nghệ tự động,7510303
237,Công nghệ tự động chất lượng cao,7510303
238,Tự động hóa và điều khiển thiết bị điện công nghiệp,7510303
239,"Quản lý công nghiệp (Gồm các chuyên ngành: Quản lý năng lượng, Quản lý năng lượng chất lượng cao, Quản lý môi trường công nghiệp và đô thị)",75106
240,Quản trị doanh nghiệp _Chất lượng cao,7340101
241,Tài chính ngân hàng_Chất lượng cao,7340201
242,Kế toán tài chính và kiểm soát,73403
243,Kế toán doanh nghiệp_Chất lượng cao,7620114
244,Công nghệ phần mềm,7480103
245,Nhiệt điện,7520201
246,Công nghệ chế tạo thiết bị điện,7510202
247,Năng lượng tái tạo,7540106
248,Hệ thống điện_Chất lượng cao,7520118
249,Điện công nghiệp và dân dụng _ Chất lượng cao,7520117
250,Điện tử viễn thông_Chất lượng cao,7520207
251,Công nghệ tự động_Chất lượng cao,7510303
252,Quản lý môi trường công nghiệp và đô thị,7510406
253,Quản lý năng lượng _Chất lượng cao,7540106
254,Xây dựng dân dụng và công nghiệp,75802
255,Thủy điện,76203
256,Công nghệ kĩ thuật công trình xây dựng,7510102
257,Công nghệ kĩ thuật cơ khí,75102
258,Công nghệ kĩ thuật cơ điện tử,7510203
259,"Công nghệ kĩ thuật điện tử, truyền thông",7320106
260,"Công nghệ kĩ thuật điện, điện tử",7510301
261,Quản trị du lịch khách sạn ((Lớp đặt ở Vinh),7810201
262,Kế toán (Lớp đặt ở Vinh),73403
263,Điện công nghiệp và dân dụng (Lớp đặt ở Vinh),76201
264,Hệ thống điện (Lớp đặt ở Vinh),7480104
265,Công nghệ kĩ thuật điện tử truyền thông (Điện tử viễn thông),7510302
266,"Công nghệ kĩ thuật điện tử truyền thông với các chuyên ngành: Điện tử viễn thông, Kỹ thuật điện tử",75103
267,Tài chính ngân hàng (Lớp đặt ở Vinh),7340201
268,Điện tử y sinh,7520212
269,Công nghệ cơ khí,75102
270,Công nghệ Cơ điện tử,7510203
271,HTĐ (Lớp đặt ở CĐSP Ninh Thuận),7860101
272,HTĐ (Lớp đặt ở Vinh),77205
273,nhiệt điện,7520201
274,Điện công nghiệp và dân dụng (Lớp đặt ở ĐH Vinh),76201
275,Kế toán doanh nghiệp (Lớp đặt ở Vinh),7620114
276,HTĐ (Lớp đặt ở ĐH Vinh),77205
277,Hệ thống điện (HTĐ),7480104
278,Kỹ thuật địa chất,7520501
279,Kỹ thuật Trắc địa - Bản đồ,7520503
280,Kỹ thuật mỏ,75206
