0,Toán học
1,Ngữ văn
2,Sinh học
3,Vật lý
4,Hóa học
5,Lịch sử
6,Địa lý
7,Tiếng Anh
8,Tiếng Nga 
9,Tiếng Pháp
10,Tiếng Trung Quốc
11,Tiếng Nhật
12,Tiếng Đức
13,Giáo dục công dân
14,Giáo dục quốc phòng - an ninh
15,Thể dục
16,Công nghệ
17,Tin học
18,Vẽ mỹ thuật
19,Khoa học tự nhiên
20,Khoa học xã hội
21,Năng khiếu vẽ Nghệ thuật
22,Hình họa
23,Trang trí
25,Năng khiếu Mầm non 1( kể chuyện; đọc diễn cảm)
26,Năng khiếu Mầm non 2 (hát)
27,Múa
28,Năng khiếu báo chí
29,Năng khiếu quay phim truyền hình
30,Xây dựng kịch bản sự kiện
31,Năng khiếu thuyết trình
32,Ghi âm- xướng âm
33,Phát triển chủ đề và phổ thơ
34,Bốc thăm đề- chỉ huy tại chỗ
35,Hòa thanh
36,Năng khiếu Thể dục thể thao (TDTT)
