0,ten_truong,ma_truong
1,Học Viện An Ninh Nhân Dân,ANH
2,Đại Học An Ninh Nhân Dân,ANS
3,Đại Học Bách Khoa Hà Nội,BKA
4,Đại học Buôn Ma Thuột,BMU
5,Học Viện Biên Phòng,BPH
6,Đại Học Anh Quốc Việt Nam,BUV
7,Học Viện Công Nghệ Bưu Chính Viễn Thông ( Phía Bắc ),BVH
8,Học Viện Công Nghệ Bưu Chính Viễn Thông (phía Nam),BVS
9,Đại Học Bà Rịa – Vũng Tàu,BVU
10,Đại Học Công Nghiệp Dệt May Hà Nội,CCM
11,Đại học Kinh Tế Nghệ An,CEA
12,Học Viện Cảnh Sát Nhân Dân,CSH
13,Đại Học Cảnh Sát Nhân Dân,CSS
14,Đại Học Đông Á,DAD
15,Đại Học Bình Dương,DBD
16,Đại học Nông Lâm Bắc Giang,DBG
17,Đại Học Quốc Tế Bắc Hà,DBH
18,Đại Học Bạc Liêu,DBL
19,Đại Học Chu Văn An,DCA
20,Đại Học Công Nghệ Đồng Nai,DCD
21,Đại Học Gia Định,DCG
22,Trường Sĩ Quan Đặc Công,DCH
23,Đại Học Cửu Long,DCL
24,Đại Học Công Nghiệp Hà Nội,DCN
25,Đại Học Công Nghệ và Quản Lý Hữu Nghị,DCQ
26,Đại Học Công Nghiệp Thực Phẩm TP HCM,DCT
27,Đại học Công nghiệp Vinh,DCV
28,Đại Học Công Nghệ Đông Á,DDA
29,Đại Học Thành Đông,DDB
30,Đại Học Ngoại Ngữ – Đại Học Đà Nẵng,DDF
31,Khoa Giáo dục thể chất - Đại học Đà Nẵng,DDG
32,Đại Học Bách Khoa – Đại Học Đà Nẵng,DDK
33,Đại Học Điện Lực,DDL
34,Đại Học Công Nghiệp Quảng Ninh,DDM
35,Đại Học Đại Nam,DDN
36,Phân Hiệu Đại Học Đà Nẵng tại Kon Tum,DDP
37,Đại Học Kinh Tế – Đại Học Đà Nẵng,DDQ
38,Đại Học Sư Phạm – Đại Học Đà Nẵng,DDS
39,Đại Học Dân Lập Duy Tân,DDT
40,Đại Học Đông Đô,DDU
41,Viện nghiên cứu và đào tạo Việt Anh - Đại học Đà Nẵng,DDV
42,Khoa Y Dược – Đại Học Đà Nẵng,DDY
43,Đại học Tài Chính – Quản Trị Kinh Doanh,DFA
44,Đại học Luật - Đại Học Huế,DHA
45,Khoa Giáo Dục Thể Chất – Đại Học Huế,DHC
46,Khoa Du Lịch – Đại Học Huế,DHD
47,Đại Học Ngoại Ngữ – Đại Học Huế,DHF
48,Đại Học Hà Hoa Tiên,DHH
49,Đại Học Kinh Tế – Đại Học Huế,DHK
50,Đại Học Nông Lâm – Đại Học Huế,DHL
51,Đại Học Nghệ Thuật – Đại Học Huế,DHN
